precinct,category,name,address,neighborhood,phone,website,email,hours,owner,owner_phone,community_friendly,notes
P03,Cafe,All Meal Prep Kitchen & Cafe,1100 West Bryn Mawr Avenue,,,,,"Mo-We 07:00-18:00; Su, Th 07:00-21:00; Fr-Sa 07:00-23:00",,,False,
P03,Cafe,PHLOUR BAKERY AND CAFE,1138 W BRYN MAWR AVE 1ST,EDGEWATER,(773) 293-6135,https://www.phlour.com/,info@phlour.com,08:00-15:00,,,False,
P03,Cafe,Phlour Bakery & Cafe,1138 West Bryn Mawr Avenue,,(773) 293-6135,https://www.phlour.com/,info@phlour.com,08:00-15:00,,,False,
P03,Cafe,Sip & Savor Coffee House,1068 W BRYN MAWR AVE,EDGEWATER,,,,,,,False,
P03,Cafe,Sip and Savor,1070 West Bryn Mawr Avenue,,(773) 564-9400,https://www.sipandsavorchicago.com/location-edgewater,,Su 07:00-16:00; Mo-Fr 06:30-16:00; Sa 07:00-16:00,,,False,
P03,Cultural/Tourism,"Nocturnes, Avian Listening at Midnight, 8 bird species","Chicago, IL 60660",,,https://www.transitchicago.com/art/bryn-mawr/,,,,,False,
P03,Cultural/Tourism,"Pastorales, Prairie Calls, 14 bird species","Chicago, IL 60660",,,https://www.transitchicago.com/art/bryn-mawr/,,,,,False,
P03,Cultural/Tourism,Today,"Chicago, IL 60660",,,https://www.transitchicago.com/art/bryn-mawr/,,,,,False,
P03,Cultural/Tourism,"Water Music, Lake Calls, 12 bird species","Chicago, IL 60660",,,https://www.transitchicago.com/art/bryn-mawr/,,,,,False,
P03,Entertainment,CITY LIT THEATER,1020 W BRYN MAWR AVE 2,EDGEWATER,,,,,,,False,
P03,Entertainment,REDTWIST THEATRE,1042-1044 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P03,Gym/Fitness,Edgewater Fitness Center,1106 W BRYN MAWR AVE 1,EDGEWATER,,,,,,,False,
P03,Other Business,AFRICAN SAFARI IMPORTS,1140 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P03,Other Business,CHARLES W. LEWIS,5650 N KENMORE AVE 4TH 406,EDGEWATER,,,,,,,False,
P03,Other Business,EDGEWATER CANDLES LLC,1050 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P03,Other Business,GOBEZ COFFEE LLC,5630 N SHERIDAN RD 10TH 1001,EDGEWATER,,,,,,,False,
P03,Other Business,GOLD SCISSORS,1064 W BRYN MAWR AVE,EDGEWATER,,,,,,,False,
P03,Other Business,LA Tan,1136 W BRYN MAWR AVE GROUND,EDGEWATER,,,,,,,False,
P03,Other Business,NURZADA ASYLBEKOVA,5600 N SHERIDAN RD  5G,EDGEWATER,,,,,,,False,
P03,Other Business,ROOTS & RITUAL,1052 W BRYN MAWR AVE,EDGEWATER,,,,,,,False,
P03,Other Business,SECRETS OF AFRICA SAFARIS,5630 N SHERIDAN RD 10 1001,EDGEWATER,,,,,,,False,
P03,Other Business,SINTHYA LAVADO ARROYO,5608 N KENMORE AVE  2,EDGEWATER,,,,,,,False,
P03,Other Business,Solar Intentions,1052-1056 W BRYN MAWR AVE STORE FRONT,EDGEWATER,,,,,,,False,
P03,Other Business,Transistor,1058 W BRYN MAWR AVE STORE FRONT 0,EDGEWATER,,,,,,,False,
P03,Restaurant,Blowfish Sushi & Ramen,"Chicago, IL 60660",,(773) 654-3369,http://www.blowfishchicago.com/,,Mo-Th 16:00-22:00; Fr 16:00-23:00; Sa 12:00-23:00; Su 12:00-22:00,,,False,
P03,Restaurant,Hooked on Fish,1036-1038 W BRYN MAWR AVE,EDGEWATER,,,,Tu-Fr 12:00-17:00; Sa 11:00-17:00,,,False,
P03,Restaurant,LITTLE VIETNAM RESTAURANT,1132 W BRYN MAWR AVE,EDGEWATER,,http://orderlittlevietnam.com/,,Mo-Su 10:00-21:00,,,False,
P03,Restaurant,Little Vietnam,1132 West Bryn Mawr Avenue,,,http://orderlittlevietnam.com/,,Mo-Su 10:00-21:00,,,False,
P03,Restaurant,TAQUERIA UPTOWN,1144 W BRYN MAWR AVE  1,EDGEWATER,,,,,,,False,
P03,Restaurant,Taquería Uptown,1144 West Bryn Mawr Avenue,,,,,,,,False,
P03,Restaurant/Bar,ALL MEAL PREP,1100 W BRYN MAWR AVE 1,EDGEWATER,,,,,,,False,
P03,Restaurant/Bar,BLOWFISH CONTEMPORARY SUSHI,1130 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P03,Retail Shop,Edgewater Candles,1050 Bryn Mawr,,,https://edgewatercandles.com/,,Mo-Su 11:00-18:00,,,False,
P03,Retail Shop,Hooked on Fish,1036 West Bryn Mawr Avenue,,,,,Tu-Fr 12:00-17:00; Sa 11:00-17:00,,,False,
P03,Retail Shop,Public Storage,5643 North Broadway,,(872) 216-5977,https://www.publicstorage.com/self-storage-il-chicago/1229.html,,Mo-Su 06:00-21:00,,,False,
P03,Retail Shop,Solar Intentions Non-Alcoholic Beverage Shop,1056 West Bryn Mawr Avenue,,(773) 357-5049,https://shopsolarintentions.com/,,We 16:00-20:00; Th 15:00-20:00; Fr 15:00-21:00; Sa 12:00-21:00; Su 13:00-19:00,,,False,
P03,Tobacco/Vape Shop,THE CHI CAVE,1142 W BRYN MAWR AVE,EDGEWATER,,,,,,,False,
P04,Bar/Nightlife,"BIG CHICKS, INC.",5024 N SHERIDAN RD  1ST F,UPTOWN,,,,,,,False,
P04,Bar/Nightlife,Big Chicks,5024 North Sheridan Road,,(773) 728-5511,https://www.bigchicks.com/,,,,,False,
P04,Bar/Nightlife,G&S SUPERMARKET,5012 N SHERIDAN RD 1 1,UPTOWN,,,,,,,False,
P04,Beauty/Salon,VIP NAILS & SPA FG,5056-5058 N SHERIDAN RD 1,UPTOWN,,,,,,,False,
P04,Cafe,Uptown Cafe & Gallery,5019 North Sheridan Road,,(773) 828-9829,https://uptowncafechicago.com/,,,,,False,
P04,Grocery/Food Retail,NEW SAMS FOOD MART,5038 N SHERIDAN RD,UPTOWN,,,,,,,False,
P04,Grocery/Food Retail,Rainbow Mart,5058 North Sheridan Road,,,,,,,,False,
P04,Grocery/Food Retail,SHAN GROCERY,5060 N SHERIDAN RD 1 B,UPTOWN,,,,,,,False,
P04,Laundromat/Dry Cleaner,LAKE SHORE CLEANERS,5064 N SHERIDAN RD 1 1,UPTOWN,,,,,,,False,
P04,Other Business,KOTOBAZA INC.,925 W CARMEN AVE  6C,UPTOWN,,,,,,,False,
P04,Other Business,MARIO CORREA DESIGN,5060 N MARINE DR 7 E7,UPTOWN,,,,,,,False,
P04,Other Business,THE SELFHELP HOME,908 W ARGYLE ST  1,UPTOWN,,,,,,,False,
P04,Restaurant,AFRO TASTE CUISINE LLC,1010 W ARGYLE ST 1ST,UPTOWN,,,,,,,False,
P04,Restaurant,Cafe Hoang,1020 West Argyle Street,,(773) 878-9943,https://www.cafe-hoang.com/,,,,,False,
P04,Restaurant,EL RINCON DE FABIO,1002 W ARGYLE ST 1ST,UPTOWN,,,,,,,False,
P04,Restaurant,Kie-Gol-Lanee,5004 North Sheridan Road,,(872) 241-9088,https://kiegol.com/,,,,,False,
P04,Restaurant,Nhà Hàng Việt Nam,1032 West Argyle Street,,(773) 878-8895,,,,,,False,
P04,Restaurant,SHAN RESTAURANT,5060 N SHERIDAN RD  A,UPTOWN,,,,,,,False,
P04,Restaurant,Shan Food,5060 North Sheridan Road,,,,,,,,False,
P04,Restaurant,Subway,5062 North Sheridan Road,UPTOWN,(773) 561-3800,https://restaurants.subway.com/united-states/il/chicago/5062-n-sheridan-road,,Mo-Fr 08:00-22:00; Sa-Su 09:00-21:00,,,False,
P04,Restaurant,Subway Sandwich,5062 N SHERIDAN RD,UPTOWN,(773) 561-3800,https://restaurants.subway.com/united-states/il/chicago/5062-n-sheridan-road,,Mo-Fr 08:00-22:00; Sa-Su 09:00-21:00,,,False,
P04,Restaurant,Tweet,5020 North Sheridan Road,UPTOWN,(773) 728-5576,http://tweet.biz/,,09:00-15:00,,,False,
P04,Restaurant,Uptown Phở,1010 West Argyle Street,,(773) 878-8820,,,,,,False,
P04,Restaurant,VIET NAM RESTAURANT,1032 W ARGYLE ST 1ST,,,,,,,,False,
P04,Restaurant,"VNTOFU & FAST FOOD, INC.",1024 W ARGYLE ST 1ST,UPTOWN,,,,,,,False,
P04,Restaurant/Bar,KIE-GOL-LANEE COMIDA TRADICIONAL OAXAQUENA,5004 N SHERIDAN RD 1,UPTOWN,,,,,,,False,
P04,Retail Shop,Boba Teahouse,1024 West Argyle Street,,(773) 293-6323,,,,,,False,
P04,Retail Shop,Lakeshore Cleaners,5064 North Sheridan Road,,,,,,,,False,
P04,Retail Shop,Metro by T-Mobile,5056 North Sheridan Road,,,,,,,,False,
P04,Retail Shop,SAFEGUARD SELF STORAGE,5026 - 5032 N SHERIDAN RD,UPTOWN,,,,,,,False,
P04,Retail Shop,Safeguard Self Storage,5026 North Sheridan Road,,,,,,,,False,
P04,Retail Shop,Đức Hùng Video,"Chicago, IL 60660",,,,,,,,False,
P05,Bar/Nightlife,LA PHARMACIE,5557 N SHERIDAN RD 1,EDGEWATER,(773) 944-0399,https://www.lapharmaciechicago.com/,lapharmacie.chicago@gmail.com,"Su, We 16:00-22:00; Th-Sa 16:00-00:00",,,False,
P05,Bar/Nightlife,La Pharmacie,5557 North Sheridan Road,EDGEWATER,(773) 944-0399,https://www.lapharmaciechicago.com/,lapharmacie.chicago@gmail.com,"Su, We 16:00-22:00; Th-Sa 16:00-00:00",,,False,
P05,Laundromat/Dry Cleaner,EBA CLEANERS,5551 N SHERIDAN RD 1ST,EDGEWATER,,,,,,,False,
P05,Other Business,ERICA LOVE WATSON,5555 N SHERIDAN RD 3RD 301,EDGEWATER,,,,,,,False,
P05,Other Business,FRANK EVENT DESIGN,5555 N SHERIDAN RD  12,EDGEWATER,,,,,,,False,
P05,Other Business,MODERN HVAC TECHNOLOGY LLC,5555 N SHERIDAN RD  3,EDGEWATER,,,,,,,False,
P05,Other Business,jj tax and accounting inc,5555 N SHERIDAN RD  3,EDGEWATER,,,,,,,False,
P05,Studio/Arts,ANNA HELD FLORAL STUDIO,5557 N SHERIDAN RD,EDGEWATER,(773) 944-0399,https://www.lapharmaciechicago.com/,lapharmacie.chicago@gmail.com,"Su, We 16:00-22:00; Th-Sa 16:00-00:00",,,False,
P06,Auto Services,EURO COLLISION OF ANDERSONVILLE,1122 W BALMORAL AVE,EDGEWATER,,,,,,,False,
P06,Auto Services,LAKESIDE INTL AUTO SERVICE INC,5407 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P06,Bar/Nightlife,Burke’s Public House,5401-5403;5401 North Broadway,,(773) 944-1109,https://www.burkespublichouse.com/,bmcBurkes@Gmail.com,Tu-Fr 16:00-23:00; Sa-Su 11:00-23:00,,,False,
P06,Bar/Nightlife,EDGEWATER WINE & SPIRITS,1105 W BRYN MAWR AVE  1,EDGEWATER,,,,,,,False,
P06,Bar/Nightlife,"SUPER FOOD & LIQUORS, INC.",1049 W BRYN MAWR AVE,EDGEWATER,(773) 728-3900,https://www.superfoodandliquors.com/,,Mo-Su 08:00-23:00,,,False,
P06,Beauty/Salon,"ARTUR'S BARBER SHOP, INC.",1135 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P06,Beauty/Salon,BIONIC HAIR DESIGN,5501 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P06,Beauty/Salon,Bionic Hair Design,"Chicago, IL 60660",,,,,,,,False,
P06,Cafe,Dulce de Leche Cafe,1127 West Bryn Mawr Avenue,,(773) 754-8936,https://dulcedelechecafe1.com/,,Mo-Sa 08:00-16:00,,,False,
P06,Cafe,Fried Egg Cafe,1039 W BRYN MAWR AVE,EDGEWATER,(773) 942-7955,https://friedeggcafe.com/,mike@friedeggcafe.com,Mo-Su 07:00-15:00,,,False,
P06,Doctor Office,TPA NETWORK INC,5537 N BROADWAY,EDGEWATER,(773) 989-9400,https://viventhealth.org/chicago/,,,,,False,
P06,Doctor Office,Vivent Health + TPAN,5537 North Broadway,EDGEWATER,(773) 989-9400,https://viventhealth.org/chicago/,,,,,False,
P06,Grocery/Food Retail,GREEN ARCH FOOD MART,5555 N BROADWAY,EDGEWATER,,,,,,,False,
P06,Grocery/Food Retail,Green Arch Food and Smoke,5555 North Broadway,,,,,,,,False,
P06,Grocery/Food Retail,Super Food & Liquors,1049 West Bryn Mawr Avenue,,(773) 728-3900,https://www.superfoodandliquors.com/,,Mo-Su 08:00-23:00,,,False,
P06,Gym/Fitness,Anytime Fitness,5417 North Broadway,,(773) 654-3244,https://www.anytimefitness.com/gyms/4869/chicago-il-60640/,,24/7,,,False,
P06,Gym/Fitness,Anytime Fitness Broadway,5417-5419 N BROADWAY,EDGEWATER,,,,,,,False,
P06,Other Business,Edgewater Botanica,5553 N BROADWAY,EDGEWATER,,,,,,,False,
P06,Other Business,HOME GOODS BY RICKY,5450 N WINTHROP AVE 1ST 111,EDGEWATER,,,,,,,False,
P06,Other Business,HURON MERCANTILE PARTNERS,5546 N WINTHROP AVE 3 3,EDGEWATER,,,,,,,False,
P06,Other Business,LENCRAFTERS #5597,1055 W BRYN MAWR AVE  #3,EDGEWATER,,,,,,,False,
P06,Other Business,LIBERTY SERVICES INC,5505 N BROADWAY,EDGEWATER,,,,,,,False,
P06,Other Business,LIBERTY TAX SERVICE,5509 N BROADWAY  1,EDGEWATER,,,,,,,False,
P06,Other Business,Michelle Lytle Photography,5517 N BROADWAY   1,EDGEWATER,,,,,,,False,
P06,Other Business,Rent It Biz Software,5546 N WINTHROP AVE 3 3,EDGEWATER,,,,,,,False,
P06,Other Business,SOUNDOFF,1055 W BRYN MAWR AVE  H,EDGEWATER,,,,,,,False,
P06,Other Business,SUPERIOR MANAGEMENT,1049 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P06,Other Business,"THE APARTMENT SEEKERS, INCORPORATED",5503 N BROADWAY  1,EDGEWATER,,,,,,,False,
P06,Other Business,THE SHERWIN WILLIAMS CO #3022,5411 N BROADWAY,EDGEWATER,,,,,,,False,
P06,Other Business,THOMAS M GARVEY,5450 N WINTHROP AVE  413,EDGEWATER,,,,,,,False,
P06,Other Business,TIMELINE THEATRE COMPANY,5539 N BROADWAY    STE B,EDGEWATER,,,,,,,False,
P06,Other Business,UPS STORE,1055 W BRYN MAWR AVE  F,EDGEWATER,,,,,,,False,
P06,Other Business,WALL TO WALL FRAMING,5554 N WINTHROP AVE,EDGEWATER,,,,,,,False,
P06,Restaurant,BB. Q CHICKEN EDGEWATER,1103 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P06,Restaurant,BEN'S NOODLES & RICE,1139 W BRYN MAWR AVE 1ST,EDGEWATER,(773) 907-8936,http://bensnoodlesandrice.com/,,Mo-Tu 11:00-21:00; Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 12:00-21:00,,,False,
P06,Restaurant,Ben's Noodles & Rice,1139 West Bryn Mawr Avenue,,(773) 907-8936,http://bensnoodlesandrice.com/,,Mo-Tu 11:00-21:00; Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 12:00-21:00,,,False,
P06,Restaurant,Hamburger Mary's,1055 West Bryn Mawr Avenue,,(773) 754-0524,https://chicago.hamburgermarys.com/,Chicago@HamburgerMarys.com,We 17:00-22:00; Th 17:00-23:00; Fr 17:00-24:00; Sa 12:00-24:00; Su 12:00-22:00,,,False,
P06,Restaurant,MEI SHUNG CHINESE RESTAUARNAT,5511 N BROADWAY  1ST,EDGEWATER,,,,,,,False,
P06,Restaurant,RAJ DARBAR,1109 W BRYN MAWR AVE 1ST,EDGEWATER,,,,,,,False,
P06,Restaurant,SUBWAY,1101 W BRYN MAWR AVE,EDGEWATER,,,,,,,False,
P06,Restaurant,TERANGA AFRICAN RESTAURANT,1131 W BRYN MAWR AVE 1,EDGEWATER,,,,,,,False,
P06,Restaurant,The Little India,1109 West Bryn Mawr Avenue,,(773) 728-7012,https://littleindiatogo.com/,,11:00-21:00,,,False,
P06,Restaurant,bb.q Chicken,1103 West Bryn Mawr Avenue,,(773) 293-6972,https://bbqchicken.com/,,"Mo-Th 11:30-14:30, 16:30-21:00; Fr, Su 11:30-21:00; Sa 12:00-21:00",,,False,
P06,Restaurant/Bar,BURKE'S PUBLIC HOUSE,5401-5403 N BROADWAY  1ST,EDGEWATER,(773) 944-1109,https://www.burkespublichouse.com/,bmcBurkes@Gmail.com,Tu-Fr 16:00-23:00; Sa-Su 11:00-23:00,,,False,
P06,Restaurant/Bar,EDGEWATER MEXICAN CAFE,1055 W BRYN MAWR AVE  E,EDGEWATER,,,,,,,False,
P06,Restaurant/Bar,Hamburger Mary's Chicago,1055 W BRYN MAWR AVE  E,EDGEWATER,,,,,,,False,
P06,Restaurant/Bar,THE EDGE THEATER / THE EDGE OFF BROADWAY,5451 N BROADWAY,EDGEWATER,,https://www.edgetheater.com/,,,,,False,
P06,Retail Shop,Broadway Eye Institute,"Chicago, IL 60660",,,,,,,,False,
P06,Retail Shop,Hernandez Auto Repair,"Chicago, IL 60660",,,,,,,,False,
P06,Retail Shop,Lakeside International Auto Service,"Chicago, IL 60660",,,,,,,,False,
P06,Retail Shop,Sherwin-Williams,5411 North Broadway,EDGEWATER,,,,,,,False,
P06,Theatre,The Edge Off Broadway Theater,1133 West Catalpa Avenue,,,https://www.edgetheater.com/,,,,,False,
P06,Theatre,The Edge Theater,5451 North Broadway,EDGEWATER,,https://www.edgetheater.com/,,,,,False,
P07,Auto Services,OCANA TIRE SHOP #2,5521 N CLARK ST  1ST,ANDERSONVILLE,,,,,,,False,
P07,Bar/Nightlife,UVA KITCHEN AND WINE BAR,5553 N CLARK ST 1ST,ANDERSONVILLE,,,,,,,False,
P07,Bar/Nightlife,Wil's Martini Lounge,1478-1480 W CATALPA AVE 1,ANDERSONVILLE,,,,,,,False,
P07,Beauty/Salon,DANIEL BRIAN SALON,5549 N CLARK ST 1,ANDERSONVILLE,,,,,,,False,
P07,Beauty/Salon,SHY SALON AND SPA,5671 N CLARK ST 1ST,EDGEWATER,,,,,,,False,
P07,Beauty/Salon,SUN BEAUTY SALON,5503 N CLARK ST 1ST,ANDERSONVILLE,,,,,,,False,
P07,Cafe,The Understudy,5531 North Clark Street,,,https://theunderstudy.com,,08:00-18:00,,,False,
P07,Cultural/Tourism,EVENT HORIZON GALLERY,5517 N CLARK ST,ANDERSONVILLE,(224) 409-9699,https://eventhorizongallery.square.site/,gallerist@eventhorizongallery.com,,,,False,
P07,Grocery/Food Retail,Edgewater Produce,5509 North Clark Street,,,,,,,,False,
P07,Gym/Fitness,ORANGE SHOE PERSONAL FITNESS,5607-5609 N CLARK ST 1ST,EDGEWATER,,,,,,,False,
P07,Healthcare Specialist,Big City Optical,5653 North Clark Street,EDGEWATER,,,,,,,False,
P07,Healthcare Specialist,Rozin Optical,5605 North Clark Street,EDGEWATER,,,,,,,False,
P07,Laundromat/Dry Cleaner,"STELLA CLEANERS, LLC",5523 N CLARK ST,ANDERSONVILLE,,,,,,,False,
P07,Other Business,APOTHECARY EO,5601 N CLARK ST,EDGEWATER,,,,,,,False,
P07,Other Business,BIG CITY OPTICAL LLC,5653 N CLARK ST,EDGEWATER,,,,,,,False,
P07,Other Business,KIERAN P MCABE,1431 W OLIVE AVE  3,EDGEWATER,,,,,,,False,
P07,Other Business,LILLA BARN CLOTHING,5535 N CLARK ST,ANDERSONVILLE,,,,,,,False,
P07,Other Business,ROSIN EYECARE T091,5605 N CLARK ST,EDGEWATER,,,,,,,False,
P07,Other Business,"STICKS AND STONES, SURFACES",5544 N GLENWOOD AVE  3-E,ANDERSONVILLE,,,,,,,False,
P07,Other Business,THE CUTTERY,5539 N CLARK ST,ANDERSONVILLE,,,,,,,False,
P07,Other Business,The Good One,1435 W CATALPA AVE  3,ANDERSONVILLE,,,,,,,False,
P07,Other Business,VAN EATON CONSULTING LLC,1462 W RASCHER AVE 1 1,ANDERSONVILLE,,,,,,,False,
P07,Pet Services/Vet,Uptown Animal Hospital,5545 N CLARK ST GROUND,ANDERSONVILLE,,,,,,,False,
P07,Restaurant,Antica Pizzeria,5663 North Clark Street,,,,,,,,False,
P07,Restaurant,EDGEWATER PRODUCE,5509 N CLARK ST  1ST,ANDERSONVILLE,,,,,,,False,
P07,Restaurant,ELI TEA BAR,5507 N CLARK ST 1ST,ANDERSONVILLE,,,,,,,False,
P07,Restaurant,IT'S GREEK TO YOU,5449 N CLARK ST 1ST,ANDERSONVILLE,,,,,,,False,
P07,Restaurant,It's Greek 2 U Grill,5449 North Clark Street,,,,,,,,False,
P07,Restaurant,JB'S DELI INC.,5501 N CLARK ST,ANDERSONVILLE,(773) 728-0600,https://jbs-deli.square.site/?location=11eaee02dff1af0db510ac1f6bbba828,,,,,False,
P07,Restaurant,Little Madrid Tapas-Café,5661 North Clark Street,,,https://littlemadridtapascafe.com/,,,,,False,
P07,Restaurant,Pizza Lobo,5455-5457 North Clark Street,,,,,,,,False,
P07,Restaurant,TANOSHII,5547 N CLARK ST 1ST,ANDERSONVILLE,,https://www.tanoshiiomakase.com/,,,,,False,
P07,Restaurant,Tanoshii,5547 North Clark Street,,,https://www.tanoshiiomakase.com/,,,,,False,
P07,Restaurant,Uvae Kitchen and Wine Bar,5553 North Clark Street,,(773) 654-1432,https://uvaechicago.com/,,,,,False,
P07,Restaurant/Bar,Bramble Art Lofts,5545 N CLARK ST 2,ANDERSONVILLE,,,,,,,False,
P07,Restaurant/Bar,LITTLE MADRID TAPAS-CAFE CHICAGO,5663-5665 N CLARK ST,EDGEWATER,,,,,,,False,
P07,Restaurant/Bar,"LOS ARCOS AUTHENTIC MEXICAN FOOD, INC.",5525 N CLARK ST 1ST,ANDERSONVILLE,,,,,,,False,
P07,Restaurant/Bar,ODA MEDITERRANEAN CUISINE,5657-5659 N CLARK ST 1,EDGEWATER,,,,,,,False,
P07,Restaurant/Bar,PIZZA LOBO,5457 N CLARK ST 1,ANDERSONVILLE,,,,,,,False,
P07,Restaurant/Bar,THE UNDERSTUDY COFFEE AND BOOKS,5531 N CLARK ST,ANDERSONVILLE,,https://theunderstudy.com,,08:00-18:00,,,False,
